Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1pCLRfQRIl3l0YDf7GJwfe,"Ginza - Anitta Remix","Reguetón para entrenar","J Balvin;Anitta",2020-07-10,170360,43,false,ben.doan4366,2025-03-13T18:08:04Z,"reggaeton,latin,brazilian pop,funk pop,brazilian funk,funk carioca","UME - Global Clearing House",0.82,0.833,10,-5.541,0,0.066,0.0561,0.00421,0.0749,0.841,101.97,4
spotify:track:0c82YIGpQ5dCaXpTNCk4sb,"Alegría","GOTTI A","Tiago PZK;Anitta;Emilia",2024-07-04,165054,66,false,ben.doan4366,2025-03-13T18:32:07Z,"argentine trap,urbano latino,brazilian pop,funk pop,brazilian funk,funk carioca","WEA Latina",0.575,0.658,9,-2.34,0,0.101,0.0463,0.0000224,0.0627,0.884,84.273,5
spotify:track:77HhVmRv7IxDqkyMxElSrK,"Sei Que Tu Me Odeia","Ensaios Da Anitta","Anitta;Mc Danny;HITMAKER",2024-12-06,160846,71,false,ben.doan4366,2025-03-13T18:42:55Z,"brazilian pop,funk pop,brazilian funk,funk carioca,brega funk,piseiro,brega,agronejo","Universal Music Ltda.",0.804,0.892,11,-3.32,0,0.0384,0.395,0,0.42,0.965,129.984,4
spotify:track:6vH8KKSB66dcnCw00N5K0R,"Funk Rave","Funk Generation","Anitta",2024-04-26,147201,59,true,ben.doan4366,2025-03-13T19:17:53Z,"brazilian pop,funk pop,brazilian funk,funk carioca","Anitta",0.879,0.79,11,-4.893,0,0.0948,0.153,0.000363,0.0704,0.685,135.025,4
spotify:track:1qxKva4IzWde7m2jLpZvDU,"Active","Lungu Boy","Asake;Travis Scott",2024-08-08,172597,62,true,ben.doan4366,2025-03-16T14:26:16Z,"afrobeats,afrobeat,afropiano,afro adura,afropop,amapiano,afroswing,afro r&b,rap","YBNL Nation / EMPIRE",0.869,0.64,5,-7.677,0,0.0424,0.011,0.00119,0.0747,0.535,112.984,4
spotify:track:0fKK51bU6lcCCwdNnv64t3,"DEPORTIVO","DEPORTIVO","Blessd;Anuel AA;Ovy On The Drums",2024-11-14,218701,77,true,ben.doan4366,2025-03-17T13:08:44Z,"reggaeton,urbano latino,trap latino,latin","WEA Latina",0.816,0.762,0,-2.864,1,0.0565,0.534,0.000404,0.0845,0.782,90.025,4
spotify:track:780be5fB7823aHG06mwTat,"Baianá","The Ringmaster","Bakermat",2020-10-09,180842,73,false,ben.doan4366,2025-03-17T13:36:13Z,"tropical house","Columbia/B1 Recordings",0.587,0.722,2,-6.983,0,0.0709,0.000754,0.668,0.543,0.466,121.964,4
spotify:track:58L5MMUqBCZROyYBrRHxsT,"MONTAGEM PR FUNK - Alesso Remix","MONTAGEM PR FUNK (Alesso Remix)","S3BZS;Alesso",2023-08-25,172968,29,false,ben.doan4366,2025-03-17T13:55:08Z,"phonk,brazilian phonk,edm","S3BZS x Alesso",0.712,0.964,6,-6.052,0,0.0597,0.0128,0.703,0.146,0.86,128.002,4
spotify:track:42C59kIJ7scQ7IzKSQ5RJL,"Rio de Janeiro","Rio de Janeiro","Tropkillaz;Sango",2023-03-01,167957,34,false,ben.doan4366,2025-03-17T14:02:53Z,"brazilian funk,brazilian pop","Virgin Music Label And Artist Services (S&D)",0.901,0.644,4,-8.648,0,0.156,0.0187,0.109,0.488,0.445,116.009,4
spotify:track:5G4JTc4HlIsg7CyiDwoPV2,"Mambo Italiano","Dino: The Essential Dean Martin","Dean Martin",2013-12-31,139680,52,false,ben.doan4366,2025-03-17T14:09:25Z,"christmas,adult standards,big band,swing music","CAPITOL CATALOG MKT (C92)",0.678,0.409,1,-9.654,0,0.208,0.809,0,0.103,0.695,152.865,4
spotify:track:2ulugT3jtketebnq2DUAqh,"Ta Faltando Um","Gratidaoh","Wealstarcks",2021-02-11,123302,41,false,ben.doan4366,2025-03-17T14:22:30Z,"","Wealstarcks",0.667,0.694,5,-7.176,0,0.298,0.359,0.00388,0.138,0.432,108.792,4
spotify:track:6sgy0DZERnmvpX13hNuO1W,"BRAZIL","BRAZIL","DECAP;DJ Damianito",2018-08-31,125270,35,false,ben.doan4366,2025-03-17T14:27:15Z,"","Future Knock",0.926,0.629,7,-4.906,0,0.0835,0.000842,0.0315,0.487,0.347,118.038,4
